algoritimo;tamanho;aleatorio;melhorcaso;piorcaso
BubbleSort;5000;32;0;24
SelectionSort;5000;20;10;10
InsertionSort;5000;10;0;9
MergeSort;5000;33;31;16
HeapSort;5000;3;0;1
CoutingSort;5000;0;1;0
QuickSort;5000;1;0;0
algoritimo;tamanho;aleatorio;melhorcaso;piorcaso
BubbleSort;10000;100;0;94
SelectionSort;10000;43;38;40
InsertionSort;10000;7;0;13
MergeSort;10000;53;73;49
HeapSort;10000;1;1;0
CoutingSort;10000;0;0;1
QuickSort;10000;5;3;3
algoritimo;tamanho;aleatorio;melhorcaso;piorcaso
BubbleSort;30000;1123;0;827
SelectionSort;30000;355;330;230
InsertionSort;30000;60;0;121
MergeSort;30000;470;411;478
HeapSort;30000;3;1;1
CoutingSort;30000;1;0;1
QuickSort;30000;14;7;7
algoritimo;tamanho;aleatorio;melhorcaso;piorcaso
BubbleSort;50000;3395;0;2319
SelectionSort;50000;988;912;959
InsertionSort;50000;168;0;326
MergeSort;50000;1065;1065;1130
HeapSort;50000;4;3;2
CoutingSort;50000;0;1;0
QuickSort;50000;4;1;1
